and;i, a
to;do, żeby
in;w
is;jest
you;ty, ciebie, tobą
that;ten, że, który
it;to, ono
he;on
was;był/była, byłem/byłam
for;dla, za, na
on;na, przy, u
are;są, jesteś
as;jako, jak, tak
with;z
his;jego
they;oni, ci
I;ja
at;na, w
be;być, bądź
this;ten, to, tym
have;mieć
from;od, z
or;albo, lub
one;jeden
had;czas przeszły od mieć
by;przez, według, po
where;gdzie
but;ale, oprócz
not;nie
what;co, jaki
all;wszystko, wszyscy, cały
were;byli/były, byliśmy/byłyśmy
we;my
when;kiedy
your;twój, wasz, twoje
can;móc
said;czas przeszły od powiedzieć
there;tam
use;używać
each;każdy
which;który/która
she;ona
do;robić, zrobić
how;jak
their;ich
if;jeśli, gdyby
will;być w czasie przyszłym, wola, życzyć sobie
up;w górę, do góry, wyżej
other;inny, inaczej
about;o, około
out;na zewnątrz, zewnętrzny
many;wiele
then;potem, następnie, wtedy
them;im, ich, nich
these;te, ci
so;więc, żeby, tak
some;trochę, kilka, niektóre
her;jej, ją
would;tryb przypuszczający np. zrobiłby/zrobiłaby
make;robić, zrobić, zarobić
like;jak, lubić
him;jego, jemu, niego
into;w
time;czas, raz
has;ma
look;patrzeć, spojrzenie
two;dwa
more;więcej, bardziej
here;tutaj
go;iść, jechać
see;widzieć, zobacz
why;dlaczego
no;nie, żaden
way;droga, sposób
could;mógł/mogła, mógłby/mogłaby
people;ludzie
my;mój
than;niż
first;pierwszy, najpierw
yes;tak
been;był/była, został
call;dzwonić, nazywać
who;kto, który, którzy
of;nie tłumaczy się lub oznacza z, o
it's;to jest, ono jest
now;teraz
find;znajdować
long;długi, długo
down;w dół
day;dzień
did;czas przeszły od robić
get;dostawać, otrzymywać, kupować
come;przyjść, przyjechać
always;zawsze
may;móc (maj, jeśli dużą literą)
part;część, rozłączać
over;ponad, nad czymś
new;nowy
best;najlepszy, najlepiej
take;wziąć, brać
only;tylko, jedyny
little;mało, mały, trochę
work;praca, pracować
know;wiedzieć, znać
place;miejsce, umieszczać
year;rok
signature;podpis
live;żyć, mieszkać
me;mnie, mi
back;z powrotem, plecy, tył
give;dawać
most;najwięcej, najbardziej, większość
very;bardzo
after;potem, za
thing;rzecz
our;nasz
just;tylko, właśnie
name;imię, nazwać
good;dobry, dobro
purchase;zakup, kupić
man;człowiek, mężczyzna
think;myśleć
say;mówić, powiedzieć
great;wielki, świetny
word;słowo
help;pomoc, pomagać
through;przez, na wylot
much;wiele
before;zanim, przed
tip;napiwek, wskazówka, wierzchołek
right;prawa strona, prawo do czegoś, słuszny
too;za, zbyt, także
mean;znaczyć, mieć na myśli, złośliwy
old;stary
any;dowolny, wszelki
same;taki sam, tak samo
tell;powiedzieć
boy;chłopiec, chłopak
follow;śledzić, być zwolennikiem, następować po
came;czas przeszły od przychodzić
want;chcieć
show;pokaz, pokazać
also;też, ponadto
around;dookoła, około
form;kształt, formularz, kształtować
three;trzy
small;mały
set;ustawiać
put;włożyć, położyć
end;koniec, kończyć
does;robi
another;kolejny, inny
well;dobrze
large;duży
must;musieć
food;jedzenie
even;nawet, aż
such;taki
because;dlatego, bo
turn;obracać, zakręt, czyjaś kolej
write;pisać
number;numer, ilość
ask;pytać, prosić
went;czas przeszły od iść
men;mężczyźni
read;czytać
need;potrzeba, potrzebować
health;zdrowie
different;inny
home;dom
us;nam, nas
move;ruszać się, ruch
try;próba, próbować
kind;rodzaj, uprzejmy
hand;dłoń, ręka
picture;obraz, rysunek
again;znowu
change;zmiana, zmieniać
off;wyłączony, poza, od
